words,counts
body,295
measurement,288
phenotypes,239
BMI-adjusted,234
circumference,184
Phenotypes,159
height,143
ratio,130
waist-hip,128
blood,120
protein,117
cholesterol,112
mass,105
pressure,102
waist,97
type,92
hip,90
diabetes,88
BMI,77
activity,72
lean,72
systolic,59
appendicular,56
Encodes,55
encodes,52
role,50
disease,48
weight,45
gene,45
triglyceride,42
member,42
family,42
membrane,40
diastolic,39
HDL,38
total,37
gut,35
binding,35
microbiome,34
cell,33
fat,31
LDL,30
receptor,28
mellitus,27
cells,26
density,26
index,25
transport,23
regulation,23
development,23
proteins,22
calcium,21
component,21
glucose,20
complex,20
muscle,20
functions,20
transcription,19
bone,18
RNA,16
acids,15
multiple,14
important,14
organization,14
ion,14
mineral,14
coronary,14
membranes,14
actin,14
DNA,14
factor,13
fatty,13
extracellular,13
acid,13
formation,13
transporter,13
subunit,13
lipoprotein,12
keratin,12
Enables,12
channel,12
domain,12
artery,12
transmembrane,12
idiopathic,12
system,12
scoliosis,12
matrix,12
percentage,12
essential,11
cytoskeleton,11
chain,11
plays,11
assembly,11
distribution,11
mitochondrial,11
nuclear,11
II,11
myosin,11
adolescent,11
plasma,11
cytoplasm,11
CAD,10
amino,10
cellular,10
schizophrenia,9
homeostasis,9
response,9
skeletal,9
migration,9
low,9
differentiation,9
intracellular,9
lipid,9
collagen,9
other,9
key,9
enzyme,9
filaments,9
insulin,8
birth,8
intermediate,8
ATP,8
polymerase,8
pathway,8
reticulum,8
alpha,8
function,8
mediates,8
rate,8
central,8
disorder,8
cardiovascular,8
process,8
BMI-adjsuted,8
sclerosis,8
acts,8
hydrolysis,7
major,7
cytoskeletal,7
structural,7
contraction,7
tissues,7
hemoglobin,7
inner,7
regulates,7
obesity,7
release,7
metabolism,7
signaling,7
regulator,7
epithelial,7
embryonic,7
superfamily,7
growth,6
carcinoma,6
subfamily,6
sodium,6
specific,6
forms,6
inflammatory,6
peptides,6
ATP-dependent,6
Golgi,6
transfer,6
adhesion,6
glycoprotein,6
microtubules,6
such,6
kidney,6
heavy,6
nervous,6
transcriptional,6
cholestrol,6
ABC,6
components,6
heart,6
activation,6
high,6
kinase,6
Protein,6
suppressor,6
glomerular,6
large,5
size,5
maintenance,5
skin,5
repair,5
enable,5
stress,5
enables,5
integral,5
force,5
pore-forming,5
several,5
endoplasmic,5
filtration,5
voltage-gated,5
testosterone,5
proliferation,5
neuronal,5
basement,5
voltage-dependent,5
metabolic,5
permeability,5
excitable,5
interactions,5
Crohn,5
signal,5
class,5
second,5
change,5
molecule,5
proper,5
genes,5
microtubule,5
domains,5
bowel,5
small,5
tumor,5
histone,5
export,4
ciliary,4
apoptotic,4
activator,4
thyroid,4
cancer,4
GTPase,4
positive,4
various,4
most,4
outer,4
volume,4
processing,4
B,4
chromatin,4
vital,4
hair,4
morphogenesis,4
attachment,4
lumen,4
binds,4
copper,4
drugs,4
A1,4
cytoplasmic,4
chains,4
fluid,4
regulatory,4
compounds,4
substrates,4
ligands,4
serine,4
protease,4
odorant,4
many,4
ions,4
water,4
filament,4
particle,4
neurons,4
Alzheimer,4
ligase,4
import,4
Parkinson,4
brain,4
catalyzes,4
immune,4
processes,4
cardiac,4
transduction,4
minus,4
group,4
channels,4
chronic,4
responsible,4
localization,3
homology,3
endocytosis,3
trafficking,3
expression,3
glaucoma,3
lipids,3
beta,3
anorexia,3
carrier,3
elements,3
establishment,3
helicase,3
encoded,3
glycine,3
degradation,3
zinc,3
ear,3
network,3
stereocilia,3
carbohydrate,3
reactions,3
stroke,3
Ischemic,3
hedgehog,3
autism,3
spectrum,3
HbA1c,3
amides,3
endogenous,3
acetylation,3
III,3
sarcoplasmic,3
syndrome,3
junctions,3
produces,3
organic,3
ubiquitin-protein,3
types,3
similar,3
ciliogenesis,3
iron,3
potential,3
resistance,3
potassium,3
E3,3
subunits,3
kDa,3
cycle,3
hyaline,3
cartilage,3
epithelia,3
peripheral,3
interaction,3
cerebrospinal,3
highly,3
motor,3
mRNA,3
hormones,3
fertilization,3
hormone,3
very,3
part,3
dynein,3
count,3
IV,3
structure,3
metabolite,3
participates,3
survival,3
apoptosis,3
reversible,3
motility,3
molecular,3
N-terminal,3
GTP,3
synthesis,3
cilia,3
manner,3
proximal,3
renal,3
epithelium,3
longitudinal,3
H,3
signals,3
damage,3
biosynthesis,3
also,3
roles,3
maturation,3
capacity,3
psoriasis,3
synaptic,3
necessary,3
Alzheimers,2
dietary,2
nervosa,2
steps,2
fourth,2
final,2
activities,2
leaflet,2
sound,2
phosphorylation,2
late-onset,2
remodeling,2
length,2
site,2
motifs,2
early,2
promotes,2
Fe,2
build,2
transferrin,2
connections,2
plaque,2
carotid,2
anions,2
G-protein,2
retrograde,2
light,2
host,2
movement,2
liver,2
digestion,2
replication,2
sequence-specific,2
outcome,2
polypeptide,2
integrin,2
